Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,261,1,2016-10-26,NOP,,DEN,L 102-107,1,41:14,.603,.500,2.2,41.8,19.2,32.0,5.4,7.9,6.7,45.2,113,85,44.2,19.8
2,262,2,2016-10-28,NOP,,GSW,L 114-122,1,39:58,.605,.565,13.9,28.7,20.8,13.6,2.2,3.8,2.6,37.2,127,108,39.7,16.0
3,263,3,2016-10-29,NOP,@,SAS,L 79-98,1,31:35,.486,.400,0.0,17.3,8.0,0.0,0.0,7.7,5.1,29.2,94,102,11.3,2.3
4,264,4,2016-11-01,NOP,,MIL,L 113-117,1,37:10,.605,.429,8.2,35.2,21.3,10.6,3.8,6.6,3.3,34.2,130,104,33.9,10.1
5,265,5,2016-11-02,NOP,@,MEM,L 83-89 (OT),1,35:40,.329,.269,3.4,17.5,10.9,5.8,2.9,6.7,24.8,27.5,54,81,1.6,-8.2
6,266,6,2016-11-04,NOP,,PHO,L 111-112 (OT),1,42:33,.676,.636,2.4,22.9,12.2,7.3,1.2,7.2,5.8,18.8,131,101,22.7,4.0
7,267,7,2016-11-07,NOP,@,GSW,L 106-116,1,35:00,.696,.639,3.5,39.2,22.0,5.7,0.0,0.0,11.2,33.0,126,117,25.2,7.2
8,268,8,2016-11-08,NOP,@,SAC,L 94-102,1,36:37,.678,.636,3.2,24.1,13.3,6.7,2.8,9.4,10.7,36.1,118,99,28.3,13.0
9,269,9,2016-11-10,NOP,@,MIL,W 112-106,1,41:27,.545,.458,7.2,12.3,9.8,8.8,2.4,6.3,6.8,30.8,113,104,24.2,3.1
10,270,10,2016-11-12,NOP,,LAL,L 99-126,1,34:51,.551,.500,2.8,24.1,12.4,13.1,0.0,4.3,3.1,40.5,115,130,24.4,6.3
11,271,11,2016-11-14,NOP,,BOS,W 106-105,1,38:20,.451,.318,3.1,38.3,22.3,0.0,5.0,4.6,20.2,39.2,77,89,14.4,-5.1
11,,12,2016-11-16,NOP,@,ORL,L 82-89,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,272,13,2016-11-18,NOP,,POR,W 113-101,1,36:41,.720,.682,0.0,24.0,13.9,29.4,2.7,9.7,7.0,37.6,132,96,36.3,17.6
13,273,14,2016-11-19,NOP,,CHO,W 121-116 (OT),1,42:19,.623,.593,4.6,34.4,19.1,10.3,1.1,7.0,6.2,33.9,119,99,31.2,8.6
14,274,15,2016-11-22,NOP,@,ATL,W 112-94,1,18:31,.523,.500,13.3,6.3,9.7,8.8,2.7,13.9,13.9,37.3,96,90,10.1,-2.1
15,275,16,2016-11-23,NOP,,MIN,W 117-96,1,38:31,.717,.667,3.4,22.9,14.5,15.7,2.4,1.8,11.3,40.1,125,88,36.3,12.3
16,276,17,2016-11-25,NOP,@,POR,L 104-119,1,42:39,.682,.647,0.0,33.3,17.0,9.1,0.0,8.3,4.2,26.0,130,110,28.9,8.5
17,277,18,2016-11-27,NOP,@,DAL,L 81-91,1,40:15,.639,.545,8.0,27.7,17.6,22.8,1.4,2.4,6.6,36.7,129,102,30.3,15.7
18,278,19,2016-11-29,NOP,,LAL,W 105-88,1,41:18,.618,.537,13.7,23.2,18.4,16.0,4.9,4.1,2.9,37.1,134,83,39.0,16.9
19,279,20,2016-12-02,NOP,,LAC,L 96-114,1,32:03,.535,.471,6.7,10.7,8.6,22.2,1.6,2.3,9.2,30.8,110,123,15.9,4.6
20,280,21,2016-12-04,NOP,@,OKC,L 92-101,1,43:20,.502,.438,9.2,22.2,15.1,10.8,2.1,7.3,7.5,37.6,102,91,27.9,10.7
21,281,22,2016-12-05,NOP,,MEM,L 108-110 (2OT),1,48:29,.465,.389,0.0,31.4,16.6,4.4,1.1,6.8,3.2,31.2,91,90,21.0,2.0
22,282,23,2016-12-08,NOP,,PHI,L 88-99,1,40:33,.495,.381,2.6,25.2,14.0,10.1,0.0,4.6,10.2,32.8,98,103,16.8,2.1
22,,24,2016-12-10,NOP,@,LAC,L 105-133,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
23,283,25,2016-12-11,NOP,@,PHO,W 120-119 (OT),1,44:11,.356,.235,6.3,22.0,13.6,14.5,1.1,4.4,13.3,22.0,84,110,9.1,-8.2
24,284,26,2016-12-13,NOP,,GSW,L 109-113,1,36:12,.799,.750,0.0,22.1,11.8,15.5,2.6,10.9,25.5,28.8,115,102,25.0,8.4
25,285,27,2016-12-15,NOP,,IND,W 102-95,1,39:07,.591,.522,2.5,33.7,18.2,0.0,0.0,9.3,11.9,36.4,105,87,25.3,7.3
26,286,28,2016-12-16,NOP,@,HOU,L 100-122,1,22:38,.519,.529,3.7,18.0,10.2,30.4,0.0,0.0,5.2,34.8,107,123,12.9,7.7
27,287,29,2016-12-18,NOP,@,SAS,L 100-113,1,29:41,.436,.417,7.2,7.9,7.5,4.9,0.0,2.5,17.9,25.8,78,125,3.6,-13.7
28,288,30,2016-12-20,NOP,@,PHI,W 108-93,1,35:13,.451,.400,12.9,32.6,22.0,11.5,0.0,5.6,2.8,41.8,103,91,21.4,3.7
29,289,31,2016-12-21,NOP,,OKC,L 110-121,1,35:46,.585,.558,6.4,40.3,22.9,11.6,1.4,4.5,6.4,38.9,111,115,25.4,6.5
30,290,32,2016-12-23,NOP,,MIA,W 91-87,1,36:52,.668,.647,15.4,38.3,26.0,6.5,1.4,7.8,12.5,29.1,124,81,28.6,14.0
31,291,33,2016-12-26,NOP,,DAL,W 111-104,1,36:37,.694,.571,19.9,36.0,28.7,19.8,0.0,6.1,22.9,36.8,123,114,24.0,1.3
32,292,34,2016-12-28,NOP,,LAC,W 102-98,1,37:04,.512,.500,2.6,9.8,6.3,4.4,5.5,2.3,0.0,24.7,107,100,16.1,1.2
33,293,35,2016-12-30,NOP,,NYK,W 104-92,1,34:28,.557,.500,3.3,47.4,27.2,10.9,2.7,0.0,19.5,33.9,90,78,16.6,0.8
34,294,36,2017-01-02,NOP,@,CLE,L 82-90,1,40:22,.359,.370,13.5,24.8,18.8,11.8,1.2,6.0,9.7,34.8,73,89,12.2,-2.1
35,295,37,2017-01-05,NOP,,ATL,L 94-99,1,36:52,.425,.350,15.7,29.2,21.9,15.7,2.7,0.0,11.3,30.2,96,96,15.3,-0.6
36,296,38,2017-01-07,NOP,@,BOS,L 108-117,1,38:09,.721,.690,9.2,34.1,22.6,11.2,0.0,4.4,10.7,33.2,133,118,31.9,10.6
37,297,39,2017-01-09,NOP,@,NYK,W 110-96,1,28:58,.733,.659,16.2,54.0,35.5,18.6,0.0,8.9,0.0,45.0,156,93,39.5,24.8
37,,40,2017-01-12,NOP,@,BRK,W 104-95,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,298,41,2017-01-14,NOP,@,CHI,L 99-107,1,39:11,.657,.609,7.7,23.6,16.3,11.2,1.3,4.5,9.9,35.7,119,101,30.4,10.6
39,299,42,2017-01-16,NOP,@,IND,L 95-98,1,23:24,.606,.545,0.0,17.6,7.4,26.0,0.0,0.0,0.0,25.8,131,107,12.9,8.3
40,300,43,2017-01-18,NOP,,ORL,W 118-98,1,28:55,.560,.529,6.8,42.5,23.5,21.4,0.0,3.0,9.6,32.0,111,96,18.1,1.5
41,301,44,2017-01-20,NOP,,BRK,L 114-143,1,27:02,.600,.588,5.8,32.7,16.1,28.1,1.7,6.7,9.8,29.1,120,132,18.8,5.7
41,,45,2017-01-23,NOP,,CLE,W 124-122,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,302,46,2017-01-25,NOP,,OKC,L 105-114,1,16:07,.376,.250,0.0,30.4,14.7,0.0,0.0,4.7,15.8,32.4,66,105,1.8,-13.6
43,303,47,2017-01-27,NOP,,SAS,W 119-103,1,33:22,.606,.545,12.5,48.0,31.1,7.3,1.5,2.5,34.7,25.7,91,94,13.5,-4.3
44,304,48,2017-01-29,NOP,,WAS,L 94-107,1,39:54,.651,.620,5.3,43.0,23.5,18.1,3.9,3.5,17.8,38.7,107,102,29.7,10.9
