Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2012-10-31,NOH,,SAS,L 95-99,1,29:04,6,12,.500,0,0,,6,12,.500,.500,9,9,1.000,3,4,7,0,1,1,0,0,21,20.0,-20
2,2,2,2012-11-02,NOH,,UTA,W 88-86,1,14:25,4,6,.667,0,0,,4,6,.667,.667,0,0,,2,4,6,0,1,2,1,0,8,9.4,6
2,,3,2012-11-03,NOH,@,CHI,W 89-82,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
2,,4,2012-11-07,NOH,,PHI,L 62-77,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
3,3,5,2012-11-09,NOH,,CHA,W 107-99,1,36:30,9,18,.500,0,1,.000,9,17,.529,.500,5,9,.556,4,7,11,2,2,5,1,2,23,22.4,5
4,4,6,2012-11-14,NOH,@,HOU,L 96-100,1,29:03,2,7,.286,0,0,,2,7,.286,.286,4,4,1.000,2,2,4,1,2,3,1,4,8,8.1,7
5,5,7,2012-11-16,NOH,,OKC,L 95-110,1,29:08,4,14,.286,0,1,.000,4,13,.308,.286,0,0,,5,6,11,1,0,2,2,1,8,4.8,-19
6,6,8,2012-11-17,NOH,@,MIL,L 113-117,1,31:34,10,13,.769,0,0,,10,13,.769,.769,8,9,.889,4,7,11,1,0,0,4,4,28,22.5,-17
6,,9,2012-11-20,NOH,,NYK,L 80-102,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,10,2012-11-21,NOH,@,IND,L 107-115 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,11,2012-11-23,NOH,@,PHO,L 108-111 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,12,2012-11-25,NOH,@,DEN,L 84-102,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,13,2012-11-26,NOH,@,LAC,W 105-98,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,14,2012-11-28,NOH,,UTA,L 84-96,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,15,2012-12-01,NOH,,OKC,L 79-100,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,16,2012-12-03,NOH,,MIL,W 102-81,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,17,2012-12-05,NOH,,LAL,L 87-103,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,18,2012-12-07,NOH,,MEM,L 89-96,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,,19,2012-12-08,NOH,@,MIA,L 90-106,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,7,20,2012-12-11,NOH,,WAS,L 70-77,0,24:54,5,10,.500,0,0,,5,10,.500,.500,3,3,1.000,2,6,8,0,3,3,2,5,13,12.3,-7
8,8,21,2012-12-12,NOH,@,OKC,L 88-92,0,28:09,3,8,.375,0,0,,3,8,.375,.375,5,6,.833,0,4,4,0,1,1,2,2,11,6.3,-13
9,9,22,2012-12-14,NOH,,MIN,L 102-113,0,28:15,4,5,.800,0,0,,4,5,.800,.800,3,5,.600,0,7,7,2,1,3,3,2,11,11.1,3
10,10,23,2012-12-16,NOH,@,POR,L 94-95,0,33:47,5,10,.500,0,0,,5,10,.500,.500,5,6,.833,1,4,5,1,0,1,2,1,15,10.5,4
11,11,24,2012-12-18,NOH,@,GSW,L 96-103,1,38:58,4,7,.571,0,0,,4,7,.571,.571,7,7,1.000,5,11,16,1,4,1,3,4,15,19.3,-8
12,12,25,2012-12-19,NOH,@,LAC,L 77-93,1,41:50,7,15,.467,0,1,.000,7,14,.500,.467,2,3,.667,3,2,5,0,0,1,1,2,16,9.5,-10
