Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,5,1,2018-04-14,NOP,@,POR,W 97-95,1,40:38,14,26,.538,0,2,.000,14,24,.583,.538,7,9,.778,2,12,14,1,2,4,3,4,35,27.5,1
2,6,2,2018-04-17,NOP,@,POR,W 111-102,1,40:25,9,18,.500,1,2,.500,8,16,.500,.528,3,5,.600,3,9,12,1,2,2,5,3,22,14.9,10
3,7,3,2018-04-19,NOP,,POR,W 119-102,1,35:33,11,18,.611,0,2,.000,11,16,.688,.611,6,7,.857,2,9,11,2,3,2,0,3,28,28.1,17
4,8,4,2018-04-21,NOP,,POR,W 131-123,1,38:45,15,23,.652,2,4,.500,13,19,.684,.696,15,17,.882,4,6,10,1,0,3,2,4,47,39.9,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,5,2018-04-28,NOP,@,GSW,L 101-123,1,33:35,9,20,.450,0,1,.000,9,19,.474,.450,3,4,.750,2,8,10,0,3,2,1,2,21,16.6,-26
6,10,6,2018-05-01,NOP,@,GSW,L 116-121,1,42:59,12,24,.500,1,3,.333,11,21,.524,.521,0,0,,4,11,15,5,2,3,2,4,25,23.1,2
7,11,7,2018-05-04,NOP,,GSW,W 119-100,1,40:35,15,27,.556,1,3,.333,14,24,.583,.574,2,3,.667,3,15,18,3,4,0,1,4,33,29.8,24
8,12,8,2018-05-06,NOP,,GSW,L 92-118,1,39:56,8,22,.364,0,3,.000,8,19,.421,.364,10,10,1.000,2,10,12,1,1,2,6,4,26,13.7,-25
9,13,9,2018-05-08,NOP,@,GSW,L 104-113,1,45:42,13,26,.500,1,2,.500,12,24,.500,.519,7,9,.778,2,17,19,1,1,3,3,2,34,26.7,-8
,,,,,,,5-4,9,360,106,204,.520,6,22,.273,100,182,.549,.534,53,64,.828,24,97,121,15,18,21,23,30,271,24.5,10
