,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,R. Anderson | A. Davis | J. Holiday,NOP,637:09,+2.1,+5.3,-.004,+0.6,+0.8,+.011,-.004,+0.1,+0.3,-.006,+4.9,+1.6,+1.9,-1.8,+1.9,-0.7,-1.5,+3.1,+2.3,+1.4,-3.1,-0.5
2,D. Cunningham | A. Davis | J. Holiday,NOP,500:01,+1.0,+3.2,-.006,-2.5,-3.7,-.052,-.022,-0.6,0.0,-.023,-1.1,-0.1,-1.6,-3.3,-1.6,-1.7,-3.9,+0.9,+1.2,-0.5,-2.3,+0.1
3,A. Davis | A. Gee | E. Gordon,NOP,467:52,-2.4,-4.9,-.003,-2.7,-6.2,-.030,-.016,+1.2,-0.3,+.059,-6.2,-0.9,-1.5,0.0,-1.5,-0.2,-0.3,-0.7,-0.5,+0.3,+3.1,+0.2
4,R. Anderson | A. Davis | E. Gordon,NOP,457:37,-0.4,-2.8,+.010,+0.1,+0.4,-.002,+.012,+2.7,+2.6,+.021,+1.9,-0.9,-2.1,-0.7,-2.1,-1.1,-2.5,+0.8,-0.3,+1.4,+0.6,-1.0
5,A. Davis | E. Gordon | J. Holiday,NOP,404:51,-0.3,+0.2,-.004,+1.2,+0.7,+.034,+.003,-0.6,-1.9,+.035,0.0,-1.3,-3.9,-3.4,-3.9,-2.5,-5.8,+0.9,+0.1,+0.6,-0.1,+0.1
6,R. Anderson | A. Davis | A. Gee,NOP,403:32,-1.4,+0.2,-.017,-0.6,-1.8,.000,-.021,+2.0,+2.2,+.009,-1.4,-0.6,-2.9,-3.8,-2.9,-2.1,-4.7,+1.0,+2.5,+1.2,-1.7,-1.2
7,N. Cole | D. Cunningham | A. Davis,NOP,403:24,-1.3,+0.2,-.016,-2.2,-7.0,+.014,-.029,-1.6,-0.8,-.041,-6.4,-0.4,-2.6,-4.0,-2.6,-2.2,-4.9,-1.9,-1.0,+1.2,-1.2,-0.2
8,A. Davis | T. Evans | E. Gordon,NOP,395:12,+1.2,-1.0,+.019,+0.1,-2.6,+.042,+.020,-1.2,-2.2,+.020,+1.3,+0.1,+0.9,+1.5,+0.9,+0.8,+1.7,+1.4,-0.2,+1.6,+1.8,+1.2
9,R. Anderson | D. Cunningham | A. Davis,NOP,389:55,-2.1,+2.4,-.038,-1.2,+1.3,-.066,-.046,-0.5,+0.7,-.040,-5.9,+0.3,-1.4,-4.6,-1.4,-2.5,-5.6,+1.8,+0.9,-0.5,-2.1,+0.3
10,A. Davis | A. Gee | J. Holiday,NOP,388:33,-2.4,+0.6,-.031,-1.5,-2.4,-.027,-.041,+0.5,-0.5,+.037,-5.8,-0.6,-2.7,-4.0,-2.7,-1.7,-3.9,+0.6,+2.1,-0.4,-1.0,-0.1
