,,,,Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss),Net (Per 100 Poss)
Rk,Lineup,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,A. Davis | A. Reaves,LAL,970:12,+1.6,-6.4,+.052,-0.8,-7.5,+.056,+.052,+9.3,+11.9,+.001,+11.6,0.0,+2.7,+5.0,+2.7,+2.4,+5.5,+1.8,-0.7,+0.2,+0.9,-4.1
2,T. Brown | A. Davis,LAL,961:49,+0.1,-4.1,+.022,-3.1,-7.0,-.021,+.008,+4.9,+6.2,+.004,+1.9,+0.1,+1.3,+2.2,+1.3,+1.1,+2.4,+0.7,-0.6,-0.4,+0.8,-2.4
3,A. Davis | L. James,LAL,865:22,+1.6,+0.2,+.017,-1.1,-5.3,+.022,+.011,+3.9,+6.1,-.037,+6.1,+1.6,+3.7,+2.0,+3.7,+1.7,+3.8,+2.1,0.0,-0.5,-0.5,-2.0
4,A. Davis | D. Schröder,LAL,829:11,+0.2,-4.7,+.026,-1.8,-7.8,+.029,+.019,+8.0,+11.0,-.032,+6.5,+1.0,+3.2,+3.0,+3.2,+1.9,+4.2,+1.2,-0.8,0.0,+1.0,-3.3
5,A. Davis | L. Walker,LAL,686:51,-0.9,-3.7,+.009,-2.6,-6.6,-.013,-.003,+4.2,+4.1,+.046,-0.3,-0.9,-1.6,-0.1,-1.6,-0.6,-1.2,+0.4,-1.1,+0.2,+0.9,-0.8
6,A. Davis | R. Westbrook,LAL,600:11,-0.1,-2.3,+.012,-2.3,-6.4,-.005,.000,+2.9,+4.8,-.039,+0.4,-0.3,-0.7,-0.4,-0.7,-0.4,-0.9,+1.7,+0.3,+0.5,-0.1,-1.0
7,P. Beverley | A. Davis,LAL,521:05,-1.5,-1.1,-.011,-2.5,-4.2,-.036,-.025,+4.8,+6.3,-.013,-0.8,+0.8,+1.1,-0.7,+1.1,+0.1,+0.3,+0.3,-0.3,-0.7,-0.1,-1.7
8,A. Davis | J. Vanderbilt,LAL,462:51,-0.7,-6.7,+.026,0.0,-3.0,+.031,+.031,+6.5,+8.6,-.003,+5.0,-0.5,+1.0,+3.0,+1.0,+1.5,+3.2,+0.2,-1.7,-0.1,+2.6,-2.8
9,A. Davis | D. Russell,LAL,408:32,+2.7,-5.8,+.060,+0.4,-5.4,+.067,+.066,+8.3,+11.8,-.037,+14.2,+0.2,+3.5,+6.2,+3.5,+3.1,+7.0,+1.5,-1.0,+0.2,+0.3,-3.8
10,M. Beasley | A. Davis,LAL,384:23,-1.9,-5.0,+.005,-1.3,-2.2,-.014,+.002,+4.7,+7.9,-.062,-0.3,+0.7,+1.7,+1.0,+1.7,+0.8,+1.8,+1.2,-0.9,-0.7,+2.1,-2.9
