,,,,,,,,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
2014-15,21,NOP,NBA,PF,4,4,172,.540,.553,.000,.540,.889,.613,.414,.023,120,114,0,109,118,115,151,9,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,.520,.549,.273,.534,.828,.584,.314,.108,113,108,75,103,108,105,125,32,
,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,.571,.609,.383,.603,.832,.665,.499,.167,124,116,107,114,108,118,192,44,
2020-21,27,LAL,NBA,PF,5,5,144,.403,.451,.182,.419,.833,.541,.677,.177,87,85,50,78,107,95,274,45,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,.520,.531,.333,.530,.852,.599,.425,.059,109,97,92,97,109,103,160,15,
2023-24,30,LAL,NBA,C,5,5,208,.634,.670,.000,.634,.808,.665,.280,.054,134,123,0,116,103,115,114,14,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,.542,.570,.313,.559,.840,.622,.430,.109,117,108,87,105,109,110,166,29,
,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,.548,.578,.330,.568,.837,.632,.462,.118,117,108,92,106,108,111,178,31,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,.526,.551,.250,.536,.850,.593,.344,.082,116,110,69,104,112,108,133,25,
