Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2014-15,21,NOP,NBA,PF,4,4,172,28.5,.613,.023,.414,6.0,22.1,14.2,9.3,1.5,6.1,11.2,30.8,0.6,0.1,0.7,.183,6.1,1.3,7.4,0.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,25.8,.584,.108,.314,7.2,27.2,17.6,7.0,2.3,4.6,9.0,30.5,0.7,0.7,1.4,.184,3.5,1.4,4.8,0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,29.6,.665,.167,.499,8.5,22.7,15.6,16.1,1.7,3.8,10.8,27.8,3.3,1.2,4.5,.284,6.5,2.1,8.7,2.1,
2020-21,27,LAL,NBA,PF,5,5,144,20.9,.541,.177,.677,5.3,21.3,12.9,16.7,1.1,5.4,6.9,26.8,0.2,0.2,0.5,.159,3.2,2.8,6.0,0.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,24.0,.599,.059,.425,7.0,30.9,19.7,10.7,1.8,7.4,10.1,24.2,1.1,1.4,2.6,.202,2.8,3.0,5.7,1.2,
2023-24,30,LAL,NBA,C,5,5,208,26.9,.665,.054,.280,8.2,32.7,20.8,16.5,0.5,3.3,9.5,25.6,0.7,0.3,1.0,.239,4.6,2.7,7.3,0.5,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,26.6,.622,.109,.430,7.5,26.4,17.2,12.8,1.6,5.1,10.0,27.2,6.7,4.0,10.6,.226,4.6,2.3,6.9,5.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,26.6,.632,.118,.462,7.7,26.7,17.5,14.3,1.5,5.1,10.1,26.2,5.4,3.2,8.6,.239,4.7,2.6,7.3,4.1,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,26.7,.593,.082,.344,6.8,25.6,16.5,7.8,2.1,5.1,9.7,30.6,1.2,0.8,2.0,.183,4.3,1.3,5.6,1.0,
