Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2014-15,21,NOP,NBA,46:15,14,23,0,1,14,22,9,10,3,12,15,3,2,4,5,4,36,32.7
2017-18,24,NOP,NBA,45:42,15,27,2,4,14,24,15,17,4,17,19,5,4,4,6,4,47,39.9
2019-20,26,LAL,NBA,42:48,15,24,4,6,14,23,13,17,8,12,15,8,3,4,6,4,43,40.7
2020-21,27,LAL,NBA,40:20,11,22,2,4,11,20,18,21,6,9,11,7,1,3,5,5,34,34.3
2022-23,29,LAL,NBA,43:50,14,24,1,4,13,22,11,12,5,19,23,5,3,7,4,4,40,38.2
2023-24,30,LAL,NBA,44:30,14,23,0,4,14,23,8,9,5,20,23,6,1,4,4,5,33,28.8
Career,,,,46:15,15,27,4,6,14,24,18,21,8,20,23,8,4,7,6,5,47,40.7
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,LAL,NBA,44:30,15,24,4,6,14,23,18,21,8,20,23,8,3,7,6,5,43,40.7
2 Seasons,,NOP,NBA,46:15,15,27,2,4,14,24,15,17,4,17,19,5,4,4,6,4,47,39.9
