Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,21,NOP,NBA,PF,4,4,172,9.8,18.2,.540,0.0,0.4,.000,9.8,17.8,.553,.540,6.7,7.5,.889,1.9,7.3,9.2,1.7,1.0,2.5,2.7,2.5,26.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,10.7,20.5,.520,0.6,2.2,.273,10.1,18.3,.549,.534,5.3,6.4,.828,2.4,9.8,12.2,1.5,1.8,2.1,2.3,3.0,27.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,9.6,16.8,.571,1.1,2.8,.383,8.5,14.0,.609,.603,7.0,8.4,.832,2.6,7.0,9.6,3.4,1.2,1.4,2.5,2.6,27.2,
2020-21,27,LAL,NBA,PF,5,5,144,6.2,15.5,.403,0.5,2.7,.182,5.8,12.8,.451,.419,8.7,10.5,.833,1.7,6.5,8.2,3.2,0.7,2.0,1.5,2.3,21.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,7.8,15.0,.520,0.3,0.9,.333,7.5,14.2,.531,.530,5.4,6.4,.852,2.3,11.1,13.3,2.4,1.3,3.0,2.0,2.7,21.4,
2023-24,30,LAL,NBA,C,5,5,208,10.2,16.1,.634,0.0,0.9,.000,10.2,15.2,.670,.634,3.6,4.5,.808,2.6,10.9,13.5,3.5,0.3,1.4,1.9,3.3,24.1,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,9.1,16.9,.542,0.6,1.8,.313,8.6,15.0,.570,.559,6.1,7.3,.840,2.4,8.9,11.2,2.7,1.2,2.1,2.2,2.7,25.0,
Game Avg,Game Avg,Game Avg,Game Avg,,60,60,2259,9.1,16.9,.542,0.6,1.8,.313,8.6,15.0,.570,.559,6.1,7.3,.840,2.4,8.9,11.2,2.7,1.2,2.1,2.2,2.7,25.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,8.8,16.0,.548,0.6,1.9,.330,8.1,14.1,.578,.568,6.2,7.4,.837,2.4,8.8,11.2,3.1,1.1,2.0,2.2,2.7,24.3,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,10.4,19.8,.526,0.4,1.6,.250,10.0,18.1,.551,.536,5.8,6.8,.850,2.2,9.0,11.2,1.6,1.6,2.2,2.4,2.9,27.0,
