Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,21,NOP,NBA,PF,4,4,43.0,11.8,21.8,.540,0.0,0.5,.000,11.8,21.3,.553,.540,8.0,9.0,.889,2.3,8.8,11.0,2.0,1.3,3.0,3.3,3.0,31.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,39.8,11.8,22.7,.520,0.7,2.4,.273,11.1,20.2,.549,.534,5.9,7.1,.828,2.7,10.8,13.4,1.7,2.0,2.3,2.6,3.3,30.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,36.6,9.8,17.1,.571,1.1,2.9,.383,8.7,14.2,.609,.603,7.1,8.5,.832,2.6,7.1,9.7,3.5,1.2,1.4,2.5,2.7,27.7,
2020-21,27,LAL,NBA,PF,5,5,28.8,5.0,12.4,.403,0.4,2.2,.182,4.6,10.2,.451,.419,7.0,8.4,.833,1.4,5.2,6.6,2.6,0.6,1.6,1.2,1.8,17.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,38.0,8.3,15.9,.520,0.3,0.9,.333,7.9,14.9,.531,.530,5.8,6.8,.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,
2023-24,30,LAL,NBA,C,5,5,41.6,11.8,18.6,.634,0.0,1.0,.000,11.8,17.6,.670,.634,4.2,5.2,.808,3.0,12.6,15.6,4.0,0.4,1.6,2.2,3.8,27.8,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,37.7,9.6,17.7,.542,0.6,1.9,.313,9.0,15.7,.570,.559,6.4,7.6,.840,2.5,9.3,11.8,2.8,1.3,2.2,2.3,2.9,26.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,36.8,9.0,16.3,.548,0.6,1.9,.330,8.3,14.4,.578,.568,6.3,7.6,.837,2.4,9.0,11.5,3.1,1.1,2.0,2.2,2.8,24.9,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,40.8,11.8,22.4,.526,0.5,1.8,.250,11.3,20.5,.551,.536,6.5,7.7,.850,2.5,10.2,12.7,1.8,1.8,2.5,2.8,3.2,30.5,
