,,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,
Season,Age,Team,Lg,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
2014-15,21,NOP,NBA,PF,4,4,172,0,0,0,46,54,-6.0,12.6,2,5,6,5,14,0,20,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,0,0,0,0,100,0.5,5.1,4,13,12,6,25,0,35,8,6,
,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,0,0,0,40,60,11.7,17.4,20,16,28,10,76,6,183,18,16,
2020-21,27,LAL,NBA,PF,5,5,144,0,0,0,80,20,-6.1,2.9,2,3,5,0,15,0,34,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,0,0,0,0,100,4.2,8.1,11,12,27,7,46,2,95,9,16,
2023-24,30,LAL,NBA,C,5,5,208,0,0,0,2,98,-1.3,2.0,3,6,11,1,13,1,46,5,4,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,0,0,0,23,77,4.2,10.3,42,55,89,29,189,9,413,44,47,
,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,0,0,0,25,75,6.0,11.1,36,37,71,18,150,9,358,35,37,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,0,0,0,15,85,-1.6,7.5,6,18,18,11,39,0,55,9,10,
