Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,21,NOP,NBA,PF,4,4,172,47,87,.540,0,2,.000,47,85,.553,.540,32,36,.889,9,35,44,8,5,12,13,12,126,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9,9,358,106,204,.520,6,22,.273,100,182,.549,.534,53,64,.828,24,97,121,15,18,21,23,30,271,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21,21,769,205,359,.571,23,60,.383,182,299,.609,.603,149,179,.832,55,149,204,73,26,30,53,56,582,0,
2020-21,27,LAL,NBA,PF,5,5,144,25,62,.403,2,11,.182,23,51,.451,.419,35,42,.833,7,26,33,13,3,8,6,9,87,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16,16,608,132,254,.520,5,15,.333,127,239,.531,.530,92,108,.852,38,187,225,41,22,50,34,46,361,0,
2023-24,30,LAL,NBA,C,5,5,208,59,93,.634,0,5,.000,59,88,.670,.634,21,26,.808,15,63,78,20,2,8,11,19,139,0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60,60,2259,574,1059,.542,36,115,.313,538,944,.570,.559,382,455,.840,148,557,705,170,76,129,140,172,1566,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47,47,1729,421,768,.548,30,91,.330,391,677,.578,.568,297,355,.837,115,425,540,147,53,96,104,130,1169,0,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13,13,530,153,291,.526,6,24,.250,147,267,.551,.536,85,100,.850,33,132,165,23,23,33,36,42,397,0,
