Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,21.7,.559,.009,.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,3.7,2.4,6.1,.159,1.8,0.7,2.5,2.1,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,26.5,.582,.009,.438,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,7.2,3.2,10.4,.212,4.0,0.8,4.8,4.0,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,30.8,.591,.010,.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,9.9,4.2,14.0,.274,6.6,2.3,8.9,6.7,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,2164,25.0,.559,.095,.379,6.4,26.4,16.1,10.0,1.8,4.7,8.4,29.6,4.4,2.8,7.2,.160,3.6,0.4,3.9,3.2,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,27.5,.580,.088,.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11.0,.195,4.4,1.4,5.9,5.4,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,2727,28.9,.612,.111,.409,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,8.8,4.9,13.7,.241,5.3,1.4,6.7,5.9,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,1850,30.3,.597,.141,.422,9.9,27.5,18.8,19.0,2.2,6.0,8.4,29.5,6.4,3.1,9.5,.247,7.1,2.3,9.4,5.3,AS
2019-20,26,LAL,NBA,PF,62,62,2131,27.4,.610,.199,.479,7.4,22.1,14.8,15.1,2.0,6.0,10.4,29.3,6.7,4.4,11.1,.250,5.4,2.6,8.0,5.4,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,1162,22.1,.556,.163,.349,6.0,21.5,13.8,16.4,1.9,4.5,9.5,29.2,1.3,2.4,3.7,.152,2.6,2.2,4.8,2.0,AS
2021-22,28,LAL,NBA,C,40,40,1404,23.9,.578,.101,.351,8.1,22.0,15.1,14.7,1.7,5.7,9.3,27.1,2.6,2.0,4.5,.155,2.6,1.2,3.8,2.0,
2022-23,29,LAL,NBA,C,56,54,1904,27.8,.627,.077,.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,.226,4.6,1.7,6.3,4.0,
2023-24,30,LAL,NBA,C,76,76,2700,25.8,.621,.083,.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,.210,3.5,1.7,5.1,4.9,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,1706,26.3,.588,.136,.405,9.1,29.1,19.4,18.3,1.7,6.0,9.5,30.4,3.7,3.0,6.7,.188,3.9,1.5,5.4,3.2,AS
2024-25,31,LAL,NBA,C,42,42,1440,27.1,.601,.124,.423,9.6,28.9,19.5,17.1,1.8,5.9,9.4,30.2,3.6,2.6,6.2,.207,4.5,1.5,6.0,2.9,
2024-25,31,DAL,NBA,PF,9,9,266,21.7,.520,.197,.316,6.3,30.5,18.6,24.7,0.9,6.4,10.4,31.2,0.1,0.4,0.5,.088,1.2,1.3,2.5,0.3,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,27115,26.8,.592,.093,.408,8.6,25.5,17.1,12.7,1.9,5.6,8.9,28.4,73.3,45.5,118.8,.210,4.4,1.5,5.9,54.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,16108,27.4,.585,.072,.403,8.3,25.4,16.8,10.8,2.0,5.6,8.4,28.3,46.4,25.6,72.0,.214,4.7,1.3,6.1,32.7,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,10741,26.0,.604,.123,.419,9.1,25.5,17.5,15.2,1.7,5.6,9.7,28.3,26.9,19.5,46.3,.207,4.0,1.8,5.8,21.2,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,266,21.7,.520,.197,.316,6.3,30.5,18.6,24.7,0.9,6.4,10.4,31.2,0.1,0.4,0.5,.088,1.2,1.3,2.5,0.3,
