Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,10.3,19.9,.516,0.0,0.2,.000,10.3,19.7,.521,.516,5.0,6.6,.751,4.8,10.5,15.3,1.9,2.2,3.3,2.6,4.6,25.5,113,104,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,11.5,22.2,.519,0.0,0.2,.222,11.5,22.0,.522,.520,7.7,9.7,.791,4.6,10.3,14.9,2.3,2.0,4.2,2.4,4.4,30.8,119,104,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,13.7,25.7,.535,0.0,0.3,.083,13.7,25.4,.540,.536,7.9,9.9,.805,3.7,11.2,14.9,3.2,2.1,4.3,2.0,3.0,35.4,122,100,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,2164,12.8,26.0,.493,0.8,2.5,.324,12.0,23.6,.511,.508,7.5,9.9,.758,3.0,11.4,14.4,2.7,1.8,2.9,2.8,3.4,33.9,110,104,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,13.9,27.6,.505,0.7,2.4,.299,13.2,25.2,.524,.518,9.4,11.7,.802,3.1,12.9,16.0,2.8,1.7,3.0,3.3,3.0,38.0,112,102,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,2727,13.7,25.6,.534,1.0,2.8,.340,12.7,22.8,.558,.552,8.7,10.5,.828,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,119,102,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,1850,13.3,25.8,.517,1.2,3.6,.331,12.1,22.1,.547,.540,8.6,10.9,.794,4.4,12.5,16.9,5.5,2.2,3.4,2.8,3.3,36.5,122,105,AS
2019-20,26,LAL,NBA,PF,62,62,2131,12.3,24.5,.503,1.6,4.9,.330,10.7,19.6,.546,.536,9.9,11.7,.846,3.2,9.7,12.9,4.5,2.0,3.2,3.4,3.5,36.1,121,102,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,1162,12.6,25.7,.491,1.1,4.2,.260,11.5,21.5,.536,.512,6.6,9.0,.738,2.6,9.4,12.0,4.6,1.9,2.5,3.1,2.5,32.9,110,104,AS
2021-22,28,LAL,NBA,C,40,40,1404,12.6,23.7,.532,0.4,2.4,.186,12.2,21.3,.571,.542,5.9,8.3,.713,3.6,9.8,13.5,4.2,1.7,3.1,2.8,3.3,31.6,115,109,
2022-23,29,LAL,NBA,C,56,54,1904,13.5,23.9,.563,0.5,1.8,.257,13.0,22.1,.589,.573,8.7,11.0,.784,4.9,12.6,17.5,3.7,1.5,2.8,3.0,3.6,36.1,124,108,
2023-24,30,LAL,NBA,C,76,76,2700,12.6,22.6,.556,0.5,1.9,.271,12.0,20.7,.582,.567,7.4,9.1,.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,124,109,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,1706,13.5,26.2,.516,1.0,3.6,.282,12.5,22.6,.553,.536,8.2,10.6,.775,3.9,13.1,17.0,5.2,1.7,3.2,3.2,2.8,36.3,118,108,AS
2024-25,31,LAL,NBA,C,42,42,1440,13.7,25.9,.528,1.0,3.2,.298,12.7,22.7,.560,.546,8.6,11.0,.788,4.1,13.0,17.0,4.8,1.8,3.1,3.2,2.8,36.9,120,108,
2024-25,31,DAL,NBA,PF,9,9,266,12.7,27.6,.461,1.3,5.5,.233,11.5,22.2,.516,.484,6.0,8.7,.688,2.7,13.8,16.5,7.3,0.9,3.6,3.6,2.9,32.7,107,110,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,27115,12.9,24.6,.522,0.7,2.3,.296,12.2,22.3,.546,.536,8.0,10.1,.794,3.8,11.5,15.3,3.6,1.9,3.3,2.9,3.3,34.4,118,104,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,16108,12.9,24.9,.517,0.6,1.8,.314,12.3,23.2,.533,.528,8.0,10.0,.795,3.8,11.5,15.2,3.1,2.0,3.5,2.7,3.4,34.4,117,103,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,10741,12.8,24.1,.532,0.8,3.0,.282,12.0,21.2,.567,.549,8.0,10.1,.794,3.8,11.4,15.2,4.4,1.7,3.0,3.1,3.2,34.5,120,107,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,266,12.7,27.6,.461,1.3,5.5,.233,11.5,22.2,.516,.484,6.0,8.7,.688,2.7,13.8,16.5,7.3,0.9,3.6,3.6,2.9,32.7,107,110,
