Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,6.8,13.2,.516,0.0,0.1,.000,6.8,13.1,.521,.516,3.3,4.4,.751,3.2,7.0,10.2,1.2,1.5,2.2,1.7,3.1,16.9,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,8.0,15.3,.519,0.0,0.1,.222,7.9,15.2,.522,.520,5.3,6.7,.791,3.2,7.1,10.3,1.6,1.4,2.9,1.7,3.1,21.3,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,9.4,17.6,.535,0.0,0.2,.083,9.4,17.4,.540,.536,5.4,6.8,.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.3,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,2164,9.3,18.9,.493,0.6,1.8,.324,8.7,17.1,.511,.508,5.4,7.2,.758,2.2,8.3,10.4,1.9,1.3,2.1,2.0,2.5,24.6,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,10.2,20.3,.505,0.5,1.8,.299,9.7,18.5,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,2727,10.3,19.3,.534,0.7,2.1,.340,9.6,17.2,.558,.552,6.5,7.9,.828,2.5,8.5,11.0,2.3,1.5,2.5,2.1,2.1,27.9,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,1850,10.3,20.0,.517,0.9,2.8,.331,9.4,17.1,.547,.540,6.7,8.4,.794,3.4,9.7,13.1,4.2,1.7,2.6,2.2,2.6,28.3,AS
2019-20,26,LAL,NBA,PF,62,62,2131,9.3,18.5,.503,1.2,3.7,.330,8.1,14.8,.546,.536,7.5,8.9,.846,2.4,7.3,9.7,3.4,1.5,2.4,2.6,2.6,27.3,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,1162,9.3,19.0,.491,0.8,3.1,.260,8.5,15.9,.536,.512,4.9,6.6,.738,1.9,6.9,8.9,3.4,1.4,1.8,2.3,1.9,24.4,AS
2021-22,28,LAL,NBA,C,40,40,1404,9.5,17.8,.532,0.3,1.8,.186,9.2,16.0,.571,.542,4.5,6.3,.713,2.7,7.4,10.1,3.1,1.3,2.3,2.1,2.5,23.8,
2022-23,29,LAL,NBA,C,56,54,1904,10.2,18.2,.563,0.4,1.4,.257,9.9,16.8,.589,.573,6.6,8.4,.784,3.7,9.6,13.3,2.8,1.1,2.2,2.3,2.8,27.4,
2023-24,30,LAL,NBA,C,76,76,2700,9.5,17.1,.556,0.4,1.4,.271,9.1,15.7,.582,.567,5.6,6.9,.816,3.2,9.6,12.8,3.5,1.2,2.4,2.1,2.4,25.0,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,1706,9.9,19.2,.516,0.7,2.6,.282,9.2,16.6,.553,.536,6.0,7.8,.775,2.8,9.6,12.5,3.8,1.2,2.3,2.4,2.1,26.6,AS
2024-25,31,LAL,NBA,C,42,42,1440,10.0,18.9,.528,0.7,2.3,.298,9.3,16.6,.560,.546,6.3,8.0,.788,3.0,9.5,12.5,3.5,1.4,2.3,2.3,2.0,27.0,
2024-25,31,DAL,NBA,PF,9,9,266,9.5,20.6,.461,0.9,4.1,.233,8.5,16.5,.516,.484,4.5,6.5,.688,2.0,10.3,12.3,5.4,0.7,2.7,2.7,2.2,24.4,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,27115,9.4,18.0,.522,0.5,1.7,.296,8.9,16.4,.546,.536,5.8,7.4,.794,2.8,8.4,11.2,2.7,1.4,2.4,2.1,2.4,25.2,
Game Avg,Game Avg,Game Avg,Game Avg,,787,780,27115,9.4,18.0,.522,0.5,1.7,.296,8.9,16.4,.546,.536,5.8,7.4,.794,2.8,8.4,11.2,2.7,1.4,2.4,2.1,2.4,25.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,16108,9.3,17.9,.517,0.4,1.3,.314,8.9,16.7,.533,.528,5.7,7.2,.795,2.7,8.3,11.0,2.2,1.4,2.5,1.9,2.5,24.7,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,10741,9.6,18.1,.532,0.6,2.2,.282,9.0,15.9,.567,.549,6.0,7.6,.794,2.9,8.6,11.5,3.3,1.3,2.3,2.3,2.4,25.9,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,266,9.5,20.6,.461,0.9,4.1,.233,8.5,16.5,.516,.484,4.5,6.5,.688,2.0,10.3,12.3,5.4,0.7,2.7,2.7,2.2,24.4,
