Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,19,NOH,NBA,PF,64,60,28.8,5.5,10.6,.516,0.0,0.1,.000,5.5,10.5,.521,.516,2.6,3.5,.751,2.6,5.6,8.2,1.0,1.2,1.8,1.4,2.5,13.5,ROY-2
2013-14,20,NOP,NBA,PF,67,66,35.2,7.8,15.0,.519,0.0,0.1,.222,7.8,14.9,.522,.520,5.2,6.6,.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,36.1,9.4,17.6,.535,0.0,0.2,.083,9.4,17.5,.540,.536,5.5,6.8,.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,35.5,9.2,18.6,.493,0.6,1.8,.324,8.6,16.9,.511,.508,5.3,7.0,.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,36.1,10.3,20.3,.505,0.5,1.8,.299,9.7,18.6,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,36.4,10.4,19.5,.534,0.7,2.2,.340,9.7,17.3,.558,.552,6.6,8.0,.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,33.0,9.5,18.3,.517,0.9,2.6,.331,8.6,15.7,.547,.540,6.1,7.7,.794,3.1,8.9,12.0,3.9,1.6,2.4,2.0,2.4,25.9,AS
2019-20,26,LAL,NBA,PF,62,62,34.4,8.9,17.7,.503,1.2,3.5,.330,7.7,14.2,.546,.536,7.2,8.5,.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,32.3,8.4,17.0,.491,0.7,2.8,.260,7.6,14.3,.536,.512,4.4,5.9,.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8,AS
2021-22,28,LAL,NBA,C,40,40,35.1,9.3,17.4,.532,0.3,1.8,.186,8.9,15.6,.571,.542,4.4,6.1,.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,
2022-23,29,LAL,NBA,C,56,54,34.0,9.7,17.2,.563,0.3,1.3,.257,9.3,15.9,.589,.573,6.2,7.9,.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,
2023-24,30,LAL,NBA,C,76,76,35.5,9.4,16.9,.556,0.4,1.4,.271,9.0,15.5,.582,.567,5.5,6.8,.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,33.5,9.2,17.8,.516,0.7,2.4,.282,8.5,15.4,.553,.536,5.6,7.2,.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,AS
2024-25,31,LAL,NBA,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,
2024-25,31,DAL,NBA,PF,9,9,29.6,7.8,16.9,.461,0.8,3.3,.233,7.0,13.6,.516,.484,3.7,5.3,.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20.0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,34.5,9.0,17.3,.522,0.5,1.6,.296,8.5,15.7,.546,.536,5.6,7.0,.794,2.7,8.0,10.7,2.6,1.3,2.3,2.0,2.3,24.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,34.6,8.9,17.2,.517,0.4,1.2,.314,8.5,16.0,.533,.528,5.5,6.9,.795,2.6,7.9,10.5,2.1,1.4,2.4,1.9,2.4,23.7,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,34.4,9.2,17.3,.532,0.6,2.1,.282,8.6,15.2,.567,.549,5.8,7.3,.794,2.8,8.2,11.0,3.2,1.2,2.2,2.2,2.3,24.8,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,29.6,7.8,16.9,.461,0.8,3.3,.233,7.0,13.6,.516,.484,3.7,5.3,.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20.0,
