,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
2012-13,19,NOH,NBA,PF,64,60,1846,.516,7.8,.991,.469,.183,.123,.216,.009,.521,.713,.435,.373,.260,.000,.765,,.209,129,.000,,1,0,ROY-2
2013-14,20,NOP,NBA,PF,67,66,2358,.519,8.3,.991,.396,.207,.180,.208,.009,.522,.704,.409,.431,.368,.222,.667,1.000,.159,146,.667,.333,0,0,DPOY-8AS
2014-15,21,NOP,NBA,PF,68,68,2455,.535,9.1,.990,.352,.173,.177,.289,.010,.540,.737,.430,.453,.419,.083,.715,1.000,.135,150,.333,.000,3,0,MVP-5DPOY-4ASNBA1DEF2
2015-16,22,NOP,NBA,C,61,61,2164,.493,10.3,.905,.299,.195,.165,.246,.095,.511,.697,.396,.420,.434,.324,.728,.943,.146,147,.213,.261,2,0,DPOY-9AS
2016-17,23,NOP,NBA,C,75,75,2708,.505,10.6,.912,.283,.233,.168,.228,.088,.524,.706,.454,.467,.414,.299,.644,1.000,.094,135,.082,.273,2,0,MVP-9ASNBA1DEF2
2017-18,24,NOP,NBA,PF,75,75,2727,.534,9.2,.889,.374,.201,.157,.157,.111,.558,.744,.483,.428,.339,.340,.701,.909,.154,211,.093,.400,3,0,MVP-3DPOY-3ASNBA1DEF1
2018-19,25,NOP,NBA,C,56,56,1850,.517,9.8,.859,.368,.217,.153,.120,.141,.547,.767,.386,.408,.341,.331,.618,1.000,.160,151,.062,.556,1,0,AS
2019-20,26,LAL,NBA,PF,62,62,2131,.503,11.1,.801,.343,.172,.155,.130,.199,.546,.758,.413,.412,.322,.330,.578,.986,.157,157,.170,.432,3,0,MVP-6DPOY-2ASNBA1DEF1
2020-21,27,LAL,NBA,PF,36,36,1162,.491,11.7,.837,.243,.204,.232,.158,.163,.536,.785,.536,.415,.330,.260,.575,.962,.098,54,.160,.625,1,0,AS
2021-22,28,LAL,NBA,C,40,40,1404,.532,9.3,.899,.363,.191,.142,.173,.101,.571,.794,.481,.323,.408,.186,.630,.846,.174,109,.100,.429,0,0,
2022-23,29,LAL,NBA,C,56,54,1904,.563,8.2,.923,.348,.323,.134,.117,.077,.589,.788,.514,.442,.372,.257,.625,1.000,.156,138,.149,.364,0,0,
2023-24,30,LAL,NBA,C,76,76,2700,.556,8.0,.917,.369,.309,.150,.090,.083,.582,.774,.487,.432,.365,.271,.670,.966,.162,196,.150,.125,0,0,DPOY-4ASNBA2DEF1
2024-25,31,2TM,NBA,PF,51,51,1706,.516,10.8,.864,.297,.291,.144,.132,.136,.553,.756,.487,.344,.475,.282,.605,.886,.099,86,.081,.100,0,0,AS
2024-25,31,LAL,NBA,C,42,42,1440,.528,9.6,.876,.301,.309,.142,.124,.124,.560,.763,.496,.361,.457,.298,.597,.964,.103,75,.096,.000,0,0,
2024-25,31,DAL,NBA,PF,9,9,266,.461,12.0,.803,.276,.204,.151,.171,.197,.516,.714,.419,.261,.538,.233,.651,.571,.079,11,.033,1.000,0,0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,787,780,27115,.522,9.6,.907,.345,.225,.160,.176,.093,.546,.745,.457,.420,.382,.296,.660,.957,.144,1809,.130,.352,16,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),NOH (7 Yrs),,466,461,16108,.517,9.3,.928,.353,.203,.163,.209,.072,.533,.725,.432,.433,.384,.314,.687,.961,.145,1069,.118,.324,12,0,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,312,310,10741,.532,9.7,.877,.335,.257,.155,.126,.123,.567,.776,.488,.405,.372,.282,.620,.968,.146,729,.145,.365,4,0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9,9,266,.461,12.0,.803,.276,.204,.151,.171,.197,.516,.714,.419,.261,.538,.233,.651,.571,.079,11,.033,1.000,0,0,
