Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,770,1526,.505,40,134,.299,.518,510,.662
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Location,Home,400,790,.506,21,77,.273,.520,265,.662
,Road,370,736,.503,19,57,.333,.516,245,.662
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Result,Win,326,619,.527,20,60,.333,.543,217,.666
,Loss,444,907,.490,20,74,.270,.501,293,.660
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Points,2,730,1392,.524,0,0,,.524,470,.644
,3,40,134,.299,40,134,.299,.448,40,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Distance,At Rim,304,431,.705,0,0,,.705,194,.638
,3 to <10 ft,162,356,.455,0,0,,.455,93,.574
,10 to <16 ft,120,257,.467,0,0,,.467,67,.558
,16 ft to <3-pt,144,348,.414,0,0,,.414,116,.806
,3-pt,40,134,.299,40,134,.299,.448,40,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Type,Dunk,135,144,.938,0,0,,.938,100,.741
,Hook Shot,39,74,.527,0,0,,.527,21,.538
,Jump Shot,412,1000,.412,40,134,.299,.432,287,.697
,Lay-Up,184,308,.597,0,0,,.597,102,.554
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Quarter,1st,244,483,.505,6,26,.231,.511,145,.594
,2nd,159,286,.556,1,13,.077,.558,104,.654
,3rd,205,422,.486,17,39,.436,.506,157,.766
,4th,147,306,.480,16,50,.320,.507,95,.646
,OT,15,29,.517,0,6,.000,.517,9,.600
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Time Left in Quarter,< 3 minutes,233,411,.567,15,36,.417,.585,146,.627
,3-6 minutes,235,480,.490,12,49,.245,.502,161,.685
,> 6 minutes,302,635,.476,13,49,.265,.486,203,.672
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Margin,≤ 5 points,387,820,.472,20,73,.274,.484,258,.667
,6-10 points,220,415,.530,7,32,.219,.539,143,.650
,> 10 points,163,291,.560,13,29,.448,.582,109,.669
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Opponent,Atlanta,13,32,.406,0,1,.000,.406,9,.692
,Boston,21,44,.477,1,2,.500,.489,12,.571
,Brooklyn,10,17,.588,0,1,.000,.588,4,.400
,Charlotte,33,58,.569,6,10,.600,.621,24,.727
,Chicago,22,42,.524,1,4,.250,.536,22,1.000
,Cleveland,10,27,.370,0,1,.000,.370,8,.800
,Dallas,48,91,.527,1,7,.143,.533,29,.604
,Denver,58,109,.532,3,12,.250,.546,46,.793
,Detroit,24,41,.585,0,3,.000,.585,11,.458
,Golden State,38,63,.603,3,5,.600,.627,28,.737
,Houston,41,80,.512,0,5,.000,.512,25,.610
,Indiana,17,35,.486,2,3,.667,.514,13,.765
,LA Clippers,16,33,.485,0,2,.000,.485,11,.688
,LA Lakers,37,75,.493,1,7,.143,.500,26,.703
,Memphis,31,78,.397,2,11,.182,.410,17,.548
,Miami,17,34,.500,2,4,.500,.529,10,.588
,Milwaukee,20,45,.444,0,3,.000,.444,13,.650
,Minnesota,44,65,.677,4,9,.444,.708,31,.705
,New York,23,40,.575,1,1,1.000,.588,16,.696
,Oklahoma City,45,94,.479,3,6,.500,.495,24,.533
,Orlando,9,17,.529,0,0,,.529,5,.556
,Philadelphia,20,51,.392,0,3,.000,.392,11,.550
,Phoenix,31,64,.484,1,7,.143,.492,19,.613
,Portland,29,54,.537,4,9,.444,.574,22,.759
,Sacramento,34,65,.523,1,6,.167,.531,23,.676
,San Antonio,24,56,.429,1,4,.250,.438,13,.542
,Toronto,6,22,.273,0,1,.000,.273,4,.667
,Utah,23,52,.442,2,5,.400,.462,15,.652
,Washington,26,42,.619,1,2,.500,.631,19,.731
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Month,October,40,80,.500,1,4,.250,.506,29,.725
,November,163,311,.524,11,39,.282,.542,112,.687
,December,140,301,.465,7,24,.292,.477,81,.579
,January,111,221,.502,3,8,.375,.509,71,.640
,February,124,239,.519,7,19,.368,.533,82,.661
,March,155,297,.522,8,28,.286,.535,105,.677
,April,37,77,.481,3,12,.250,.500,30,.811
