Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Season,Regular Season,530,1026,.517,48,145,.331,.540,346,.653
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Location,Home,260,494,.526,19,61,.311,.546,172,.662
,Road,270,532,.508,29,84,.345,.535,174,.644
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Game Result,Win,264,477,.553,22,56,.393,.577,167,.633
,Loss,266,549,.485,26,89,.292,.508,179,.673
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Points,2,482,881,.547,0,0,,.547,298,.618
,3,48,145,.331,48,145,.331,.497,48,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Distance,At Rim,290,378,.767,0,0,,.767,193,.666
,3 to <10 ft,86,223,.386,0,0,,.386,38,.442
,10 to <16 ft,64,157,.408,0,0,,.408,37,.578
,16 ft to <3-pt,42,123,.341,0,0,,.341,30,.714
,3-pt,48,145,.331,48,145,.331,.497,48,1.000
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Shot Type,Dunk,151,164,.921,0,0,,.921,114,.755
,Hook Shot,21,51,.412,0,0,,.412,11,.524
,Jump Shot,204,543,.376,48,145,.331,.420,134,.657
,Lay-Up,154,268,.575,0,0,,.575,87,.565
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Quarter,1st,169,319,.530,11,27,.407,.547,116,.686
,2nd,129,230,.561,12,26,.462,.587,89,.690
,3rd,128,266,.481,16,51,.314,.511,82,.641
,4th,104,211,.493,9,41,.220,.514,59,.567
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Time Left in Quarter,< 3 minutes,116,248,.468,13,53,.245,.494,78,.672
,3-6 minutes,172,326,.528,20,53,.377,.558,110,.640
,> 6 minutes,242,452,.535,15,39,.385,.552,158,.653
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Margin,≤ 5 points,257,499,.515,23,63,.365,.538,174,.677
,6-10 points,141,271,.520,14,46,.304,.546,94,.667
,> 10 points,132,256,.516,11,36,.306,.537,78,.591
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Opponent,Atlanta,6,10,.600,3,4,.750,.750,3,.500
,Boston,25,53,.472,0,4,.000,.472,16,.640
,Brooklyn,18,44,.409,3,9,.333,.443,10,.556
,Charlotte,14,19,.737,2,3,.667,.789,7,.500
,Chicago,13,24,.542,2,4,.500,.583,10,.769
,Cleveland,17,29,.586,1,3,.333,.603,12,.706
,Dallas,52,89,.584,4,11,.364,.607,29,.558
,Denver,10,20,.500,0,1,.000,.500,6,.600
,Detroit,2,7,.286,0,2,.000,.286,0,.000
,Golden State,17,42,.405,2,8,.250,.429,9,.529
,Houston,25,48,.521,2,4,.500,.542,20,.800
,Indiana,6,11,.545,0,2,.000,.545,3,.500
,LA Clippers,37,73,.507,4,12,.333,.534,19,.514
,LA Lakers,22,37,.595,1,4,.250,.608,15,.682
,Memphis,28,49,.571,0,7,.000,.571,22,.786
,Miami,25,42,.595,4,8,.500,.643,18,.720
,Milwaukee,19,34,.559,5,13,.385,.632,12,.632
,Minnesota,30,62,.484,4,9,.444,.516,24,.800
,New York,28,44,.636,2,5,.400,.659,21,.750
,Oklahoma City,28,62,.452,2,6,.333,.468,22,.786
,Orlando,1,9,.111,0,0,,.111,1,1.000
,Philadelphia,12,27,.444,0,2,.000,.444,9,.750
,Phoenix,20,40,.500,1,5,.200,.512,13,.650
,Portland,9,17,.529,0,0,,.529,6,.667
,Sacramento,15,32,.469,2,6,.333,.500,11,.733
,San Antonio,18,35,.514,0,3,.000,.514,10,.556
,Toronto,11,20,.550,1,2,.500,.575,6,.545
,Utah,13,26,.500,1,2,.500,.519,7,.538
,Washington,9,21,.429,2,6,.333,.476,5,.556
Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Month,October,44,89,.494,5,11,.455,.522,28,.636
,November,139,282,.493,11,36,.306,.512,96,.691
,December,158,302,.523,16,52,.308,.550,101,.639
,January,89,173,.514,8,24,.333,.538,57,.640
,February,45,81,.556,1,6,.167,.562,35,.778
,March,55,99,.556,7,16,.438,.591,29,.527
