Unnamed: 0_level_0,Unnamed: 1_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Unnamed: 19_level_0,Shooting,Shooting,Shooting,Unnamed: 23_level_0,Advanced,Advanced,Advanced,Advanced,Advanced,Unnamed: 29_level_0,Per Game,Per Game,Per Game,Per Game
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 19_level_1,FG%,3P%,FT%,Unnamed: 23_level_1,TS%,USG%,ORtg,DRtg,+/-,Unnamed: 29_level_1,MP,PTS,TRB,AST
,Total,56,54,1904,542,962,19,74,348,444,195,702,148,59,114,122,146,1451,,.563,.257,.784,,.627,28.5,124,107,,,34.0,25.9,12.5,2.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Place,Home,31,30,1041,276,496,9,36,177,234,112,382,87,30,64,68,89,738,,.556,.250,.756,,.616,27.5,122,106,,,33.6,23.8,12.3,2.8
,Road,25,24,864,266,466,10,38,171,210,83,320,61,29,50,54,57,713,,.571,.263,.814,,.638,29.6,126,108,,,34.5,28.5,12.8,2.4
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
All-Star,Pre,35,33,1168,344,612,13,52,209,255,114,431,88,41,70,74,96,910,,.562,.250,.820,,.628,28.9,124,107,,,33.4,26.0,12.3,2.5
,Post,21,21,736,198,350,6,22,139,189,81,271,60,18,44,48,50,541,,.566,.273,.735,,.624,27.8,125,107,,,35.1,25.8,12.9,2.9
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Result,Win,31,30,1054,324,555,10,35,205,256,118,418,84,29,67,65,70,863,,.584,.286,.801,,.646,29.5,129,103,,,34.0,27.8,13.5,2.7
,Loss,25,24,851,218,407,9,39,143,188,77,284,64,30,47,57,76,588,,.536,.231,.761,,.600,27.2,118,112,,,34.0,23.5,11.4,2.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Month,October,5,5,177,49,92,2,11,19,25,14,53,10,12,10,8,13,119,,.533,.182,.760,,.578,25.9,114,101,,,35.4,23.8,10.6,2.0
,November,13,13,438,128,219,3,10,95,114,49,176,37,15,32,30,41,354,,.584,.300,.833,,.658,29.1,130,105,,,33.7,27.2,13.5,2.8
,December,7,7,221,78,118,4,10,52,62,15,73,19,6,11,9,14,212,,.661,.400,.839,,.730,30.2,144,113,,,31.5,30.3,10.4,2.7
,January,3,1,97,22,46,2,7,18,22,12,31,6,3,4,10,9,64,,.478,.286,.818,,.575,28.4,110,108,,,32.3,21.3,10.3,2.0
,February,10,10,333,91,181,2,17,47,62,37,144,21,6,23,24,26,231,,.503,.118,.758,,.555,28.8,111,106,,,33.3,23.1,14.4,2.1
,March,13,13,466,134,229,6,17,89,122,49,157,38,11,21,34,35,363,,.585,.353,.730,,.642,29.3,126,108,,,35.8,27.9,12.1,2.9
,April,5,5,173,40,77,0,2,28,37,19,68,17,6,13,7,8,108,,.519,.000,.757,,.579,24.7,125,107,,,34.6,21.6,13.6,3.4
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Day,Sunday,14,14,487,155,260,3,15,79,104,57,186,45,17,30,25,38,392,,.596,.200,.760,,.641,29.2,129,104,,,34.8,28.0,13.3,3.2
,Monday,3,3,97,28,51,1,3,16,20,7,37,9,1,8,6,9,73,,.549,.333,.800,,.610,28.1,124,118,,,32.3,24.3,12.3,3.0
,Tuesday,10,10,342,87,158,2,11,80,103,33,131,20,16,17,33,21,256,,.551,.182,.777,,.630,28.9,118,106,,,34.2,25.6,13.1,2.0
,Wednesday,9,8,304,87,153,3,10,44,58,29,102,31,11,20,11,23,221,,.569,.300,.759,,.619,26.7,129,104,,,33.7,24.6,11.3,3.4
,Thursday,4,4,127,34,70,2,9,21,26,15,50,5,3,4,10,9,91,,.486,.222,.808,,.559,30.1,108,104,,,31.7,22.8,12.5,1.3
,Friday,13,13,440,127,211,5,17,96,118,43,156,30,10,30,29,37,355,,.602,.294,.814,,.675,28.3,132,111,,,33.9,27.3,12.0,2.3
,Saturday,3,2,108,24,59,3,9,12,15,11,40,8,1,5,8,9,63,,.407,.333,.800,,.480,28.2,99,110,,,36.0,21.0,13.3,2.7
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Role,Starter,54,54,1844,529,932,17,68,339,433,185,680,143,58,110,117,140,1414,,.568,.250,.783,,.630,28.5,125,107,,,34.2,26.2,12.6,2.6
,Reserve,2,0,60,13,30,2,6,9,11,10,22,5,1,4,5,6,37,,.433,.333,.818,,.531,26.9,110,105,,,30.0,18.5,11.0,2.5
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Minutes,40+,2,2,88,20,40,0,2,18,27,8,26,9,3,3,2,4,58,,.500,.000,.667,,.559,27.2,124,115,,,44.1,29.0,13.0,4.5
,30-39,47,46,1653,476,842,16,64,295,375,169,611,128,49,99,108,130,1263,,.565,.250,.787,,.627,28.6,124,107,,,35.2,26.9,13.0,2.7
,20-29,5,4,138,42,74,3,8,32,37,17,58,7,6,11,10,10,119,,.568,.375,.865,,.659,30.5,129,100,,,27.6,23.8,11.6,1.4
,10-19,1,1,17,4,6,0,0,2,2,0,4,2,1,1,2,2,10,,.667,,1.000,,.727,21.1,117,100,,,17.5,10.0,4.0,2.0
,0-9,1,1,8,0,0,0,0,1,3,1,3,2,0,0,0,0,1,,,,.333,,.379,6.8,131,121,,,8.1,1.0,3.0,2.0
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Rest,0 Days,2,2,62,18,32,1,2,9,11,5,15,5,2,3,3,4,46,,.563,.500,.818,,.624,27.7,127,125,,,30.8,23.0,7.5,2.5
,1 Day,33,33,1133,343,613,13,48,207,267,127,458,85,31,64,74,77,906,,.560,.271,.775,,.620,30.2,123,107,,,34.3,27.5,13.9,2.6
,2 Days,16,15,552,141,241,4,17,92,117,47,168,52,19,35,32,53,378,,.585,.235,.786,,.646,25.1,128,106,,,34.5,23.6,10.5,3.3
,3+ Days,5,4,158,40,76,1,7,40,49,16,61,6,7,12,13,12,121,,.526,.143,.816,,.620,28.5,120,102,,,31.6,24.2,12.2,1.2
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Conference,Eastern,19,18,659,189,328,6,22,127,164,68,231,57,16,33,38,54,511,,.576,.273,.774,,.638,28.6,128,110,,,34.7,26.9,12.2,3.0
,Western,37,36,1245,353,634,13,52,221,280,127,471,91,43,81,84,92,940,,.557,.250,.789,,.621,28.4,122,105,,,33.7,25.4,12.7,2.5
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Division,Atlantic,7,6,256,64,118,1,8,44,56,32,86,17,7,8,14,22,173,,.542,.125,.786,,.606,27.0,124,112,,,36.6,24.7,12.3,2.4
,Central,10,10,331,97,165,3,11,71,93,31,117,38,7,18,17,27,268,,.588,.273,.763,,.651,28.8,133,112,,,33.1,26.8,11.7,3.8
,Northwest,14,14,464,133,239,5,18,66,84,48,159,32,19,30,29,38,337,,.556,.278,.786,,.611,27.8,122,111,,,33.1,24.1,11.4,2.3
,Pacific,11,11,379,90,181,3,15,73,93,29,135,28,15,22,26,26,256,,.497,.200,.785,,.577,27.5,114,102,,,34.4,23.3,12.3,2.5
,Southeast,2,2,72,28,45,2,3,12,15,5,28,2,2,7,7,5,70,,.622,.667,.800,,.678,34.0,119,99,,,35.9,35.0,14.0,1.0
,Southwest,12,11,403,130,214,5,19,82,103,50,177,31,9,29,29,28,347,,.607,.263,.796,,.669,30.0,130,100,,,33.6,28.9,14.8,2.6
Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,TS%,USG%,ORtg,DRtg,+/-,,MP,PTS,TRB,AST
Opponent,Boston,2,1,80,19,39,1,5,14,19,9,22,7,1,1,3,5,53,,.487,.200,.737,,.560,27.8,119,115,,,40.0,26.5,11.0,3.5
,Brooklyn,1,1,34,15,25,0,0,7,7,10,18,2,0,0,1,5,37,,.600,,1.000,,.659,38.1,145,108,,,33.6,37.0,18.0,2.0
,Chicago,2,2,75,19,28,1,1,14,20,7,18,9,3,3,2,6,53,,.679,1.000,.700,,.720,22.5,153,114,,,37.3,26.5,9.0,4.5
,Cleveland,2,2,41,7,12,0,0,6,12,4,15,6,0,1,1,4,20,,.583,,.500,,.579,19.1,126,113,,,20.4,10.0,7.5,3.0
,Dallas,2,2,73,21,34,0,3,14,20,7,25,7,1,4,3,7,56,,.618,.000,.700,,.654,26.1,135,110,,,36.7,28.0,12.5,3.5
,Denver,3,3,91,25,43,0,1,5,7,7,33,9,5,4,4,6,55,,.581,.000,.714,,.597,23.5,120,102,,,30.2,18.3,11.0,3.0
,Detroit,2,2,70,22,34,0,2,28,33,5,31,9,3,5,5,6,72,,.647,.000,.848,,.742,33.7,145,106,,,34.9,36.0,15.5,4.5
,Golden State,4,4,134,32,71,1,7,26,34,8,42,8,4,8,10,8,91,,.451,.143,.765,,.529,29.3,104,100,,,33.6,22.8,10.5,2.0
,Houston,1,1,30,15,20,0,0,10,12,4,9,1,0,2,0,0,40,,.750,,.833,,.791,36.1,167,113,,,30.5,40.0,9.0,1.0
,Indiana,2,2,71,22,42,0,3,12,15,8,27,8,1,6,4,4,56,,.524,.000,.800,,.576,29.8,120,105,,,35.5,28.0,13.5,4.0
,LA Clippers,3,3,100,25,46,2,6,11,15,7,28,6,3,3,6,9,63,,.543,.333,.733,,.599,25.0,113,110,,,33.2,21.0,9.3,2.0
,Memphis,2,2,71,20,36,1,3,17,22,10,41,3,0,7,12,5,58,,.556,.333,.773,,.635,32.8,107,98,,,35.5,29.0,20.5,1.5
,Milwaukee,2,2,75,27,49,2,5,11,13,7,26,6,0,3,5,7,67,,.551,.400,.846,,.612,34.8,121,122,,,37.3,33.5,13.0,3.0
,Minnesota,2,2,69,27,48,2,6,20,24,9,22,2,2,4,9,6,76,,.563,.333,.833,,.649,40.5,120,108,,,34.6,38.0,11.0,1.0
,New Orleans,4,4,139,45,77,3,8,24,29,17,57,13,3,8,6,9,117,,.584,.375,.828,,.652,29.2,135,106,,,34.8,29.3,14.3,3.3
