id,rk,gcar,gtm,date,team,opp,result,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,is_away
1,1.0,529.0,1.0,2020-12-22,LAL,LAC,L 109-116,1,30:53,8,15,.533,0,2,.000,8,13,.615,.533,2,2,1.000,0,7,7,2,0,0,4,1,18,9.8,-16,False
2,2.0,530.0,2.0,2020-12-25,LAL,DAL,W 138-115,1,30:17,10,16,.625,3,5,.600,7,11,.636,.719,5,7,.714,1,7,8,5,2,0,2,2,28,25.5,16,False
3,3.0,531.0,4.0,2020-12-28,LAL,POR,L 107-115,1,37:49,6,14,.429,0,0,,6,14,.429,.429,1,2,.500,1,9,10,5,1,0,3,1,13,9.7,5,False
4,4.0,532.0,5.0,2020-12-30,LAL,SAS,W 121-107,1,31:37,9,15,.600,0,2,.000,9,13,.692,.600,2,2,1.000,1,7,8,3,0,2,1,3,20,17.2,17,True
5,5.0,533.0,6.0,2021-01-01,LAL,SAS,W 109-103,1,35:03,13,26,.500,4,6,.667,9,20,.450,.577,4,7,.571,7,4,11,5,2,0,1,2,34,29.6,0,True
6,6.0,534.0,7.0,2021-01-03,LAL,MEM,W 108-94,1,32:12,6,15,.400,0,2,.000,6,13,.462,.400,5,6,.833,2,7,9,1,3,3,3,0,17,14.8,5,True
7,7.0,535.0,8.0,2021-01-05,LAL,MEM,W 94-92,1,34:24,10,20,.500,4,10,.400,6,10,.600,.600,3,4,.750,0,10,10,4,3,3,4,0,26,22.5,12,True
8,8.0,536.0,9.0,2021-01-07,LAL,SAS,L 109-118,1,34:20,11,17,.647,1,3,.333,10,14,.714,.676,0,2,.000,2,8,10,3,1,3,1,2,23,21.9,-16,False
9,9.0,537.0,11.0,2021-01-10,LAL,HOU,W 120-102,1,29:56,9,12,.750,0,1,.000,9,11,.818,.750,9,10,.900,1,3,4,1,0,3,2,4,27,22.6,29,True
10,10.0,538.0,12.0,2021-01-12,LAL,HOU,W 117-100,1,28:53,7,8,.875,1,1,1.000,6,7,.857,.938,4,4,1.000,2,8,10,2,0,5,0,1,19,24.5,21,True
11,11.0,539.0,13.0,2021-01-13,LAL,OKC,W 128-99,1,24:37,8,13,.615,0,1,.000,8,12,.667,.615,2,2,1.000,3,4,7,1,0,0,0,0,18,16.1,16,True
12,12.0,540.0,14.0,2021-01-15,LAL,NOP,W 112-95,1,33:06,5,16,.313,0,2,.000,5,14,.357,.313,7,10,.700,1,5,6,5,2,3,0,1,17,16.0,20,False
13,13.0,541.0,15.0,2021-01-18,LAL,GSW,L 113-115,1,37:02,6,16,.375,0,1,.000,6,15,.400,.375,5,7,.714,5,12,17,7,2,3,1,3,17,21.3,12,False
14,14.0,542.0,16.0,2021-01-21,LAL,MIL,W 113-106,1,37:48,8,18,.444,0,1,.000,8,17,.471,.444,2,5,.400,0,9,9,6,1,2,2,3,18,13.5,0,True
15,15.0,543.0,17.0,2021-01-23,LAL,CHI,W 101-90,1,28:21,14,21,.667,2,3,.667,12,18,.667,.714,7,9,.778,1,5,6,3,2,1,1,3,37,31.9,5,True
16,16.0,544.0,18.0,2021-01-25,LAL,CLE,W 115-108,1,35:38,5,16,.313,0,3,.000,5,13,.385,.313,7,9,.778,3,7,10,4,3,3,3,1,17,15.7,-5,True
